SortNo,Music_Title,Nickname,Artist,BPM,Noes,Side,Pack,Version,FTR_Level,FTR_Const,ETR_Level,ETR_Const,BYD_Level,BYD_Const,Image,Point,Count,Flag
48,Lethaeus,レーテウス,Silentroom,155.0,900,Tairitsu,Ambivalent Vision,1.01,9.7,9.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Lethaeus/::ref/Lethaeus.jpg.webp,1,0,False
56,SOUNDWiTCH,音魔女,HATE,170.0,785,Tairitsu,Vicious Labyrinth,1.05,9.7,9.9,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/SOUNDWiTCH/::ref/SOUNDWiTCH.jpg.webp,0,1,False
75,Memory Forest,メモ森,ETIA.,178.0,978,Hikari,Binary Enfold,1.06,9.7,9.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Memory Forest/::ref/Memory Forest.jpg.webp,0,1,False
87,The Message,ざめっせーじ,Jun Kuroda,202.0,992,Hikari,Luminous Sky,1.07,9.7,9.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/The Message/::ref/The Message.jpg.webp,0,1,False
88,Sulfur,さるふぁー,ぺのれり,182.0,1045,Hikari,Luminous Sky,1.07,9.7,9.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Sulfur/::ref/Sulfur.jpg.webp,1,0,False
92,Nhelv,ねるふ,Silentroom,174.59,1108,Tairitsu,Arcaea,1.07,9.7,9.9,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Nhelv/::ref/Nhelv.jpg.webp,1,0,False
101,Linear Accelerator,リニア,THE SHAFT,211.9,905,Hikari,Tone Sphere,1.08,9.7,9.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Linear Accelerator/::ref/Linear Accelerator.jpg.webp,1,0,False
108,DX超性能フルメタル少女,フルメタ,IOSYS TRAX (uno with.ちょこ),160.0,808,Hikari,Groove Coaster,1.09,9.7,9.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/DX Choseinou Full Metal Shojo/::ref/DX Choseinou Full Metal Shojo.jpg.webp,0,1,False
117,Black Territory,ブラテリ,DJ Myosuke,200.0,1195,Tairitsu,Absolute Reason,2.0,9.7,9.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Black Territory/::ref/Black Territory.jpg.webp,1,0,False
118,Corruption,こらぷしょん,3R2,170.0,1293,Tairitsu,Absolute Reason,2.0,9.7,9.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Corruption/::ref/Corruption.jpg.webp,1,0,False
122,SUPERNOVA,すーぱーのば,BACO,150.0,1123,Tairitsu,Arcaea,2.0,9.7,9.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/SUPERNOVA/::ref/SUPERNOVA.jpg.webp,0,1,False
127,Dreadnought,ドレノ,Mastermind (xi + nora2r),384.0,1099,Tairitsu,Memory Archive,2.02,9.7,9.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Dreadnought/::ref/Dreadnought.jpg.webp,0,1,False
130,Heavensdoor,天門,LeaF,240.0,1101,Tairitsu,Adverse Prelude,2.02,9.7,9.9,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Heavensdoor/::ref/Heavensdoor.jpg,0,1,False
141,Monochrome Princess,モノクローム,polysha,160.0,974,Tairitsu,Arcaea,2.04,9.7,9.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Monochrome Princess/::ref/Monochrome Princess.jpg.webp,0,1,False
142,Heavenly caress,ヘブンリー,Noah,241.0,1560,Hikari,Memory Archive,2.04,9.7,9.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Heavenly caress/::ref/Heavenly caress.jpg.webp,1,0,False
144,Filament,ふぃらめんと,Puru,170.0,991,Hikari,Memory Archive,2.04,9.7,9.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Filament/::ref/Filament.jpg.webp,1,0,False
146,BATTLE NO.1,バトワン,TANO*C Sound Team,200.0,1042,Tairitsu,Memory Archive,2.04,9.7,9.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/BATTLE NO.1/::ref/BATTLE NO.1.jpg.webp,0,1,False
148,Einherjar Joker,えいんへりあるじょーかー,DJ Genki vs Gram,222.0,1159,Tairitsu,Memory Archive,2.05,9.7,9.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Einherjar Joker/::ref/Einherjar Joker.jpg.webp,1,0,False
152,BLRINK,ぶりんく,Sta,115.0,1015,Tairitsu,Adverse Prelude,2.05,9.7,9.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/BLRINK/::ref/BLRINK.jpg.webp,1,0,False
154,amygdata,あみぐでーた,nitro,154.0,1199,Tairitsu,Memory Archive,2.06,9.7,9.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/amygdata/::ref/amygdata.jpg.webp,1,0,False
157,Antagonism,アンタゴ,Yooh vs. siromaru,160.0,1142,Tairitsu,Black Fate,3.0,9.7,9.9,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Antagonism/::ref/Antagonism.jpg.webp,0,1,False
158,Lost Desire,ロスデザ,Powerless feat. Sennzai,170.0,1154,Tairitsu,Black Fate,3.0,9.7,9.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Lost Desire/::ref/Lost Desire.jpg.webp,0,1,False
162,Arcahv,アーカヴ,Feryquitous,191.0,1065,Hikari,Black Fate,3.0,9.7,9.9,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Arcahv/::ref/Arcahv.jpg.webp,0,1,False
167,Black Lotus,ぶらっくろーたす,wa.,200.0,965,Tairitsu,Extend Archive,3.0,9.7,9.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Black Lotus/::ref/Black Lotus.jpg.webp,1,0,False
168,Altale,あるたいる,Sakuzyo,90.0,690,Hikari,Memory Archive,3.0,9.7,9.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Altale/::ref/Altale.jpg.webp,1,0,True
