SortNo,Music_Title,Nickname,Artist,BPM,Noes,Side,Pack,Version,FTR_Level,FTR_Const,ETR_Level,ETR_Const,BYD_Level,BYD_Const,Image,Point,Count,Flag
18,PRAGMATISM,プラグマ,Laur,174.0,942,Hikari,Eternal Core,1.0,10.0,10.1,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/PRAGMATISM-R/::ref/PRAGMATISM-R.jpg.webp,1,0,False
19,Sheriruth,シェリダー,Team Grimoire,185.0,1151,Tairitsu,Eternal Core,1.0,10.0,10.1,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Sheriruth/::ref/Sheriruth.jpg.webp,1,0,False
29,Nirv lucE,ルーチェ,しーけー,260.0,980,Hikari,Crimson Solace,1.0,10.0,10.3,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Nirv lucE/::ref/Nirv lucE.jpg.webp,1,0,False
40,α‪terlβus,アーテルバス,Aoi,202.0,1030,Tairitsu,Dynamix,1.01,10.0,10.2,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/αterlβus/::ref/αterlβus.jpg.webp,0,1,False
51,Modelista,モデリスタ,HiTECH NINJA,165.0,1010,Hikari,Memory Archive,1.01,10.0,10.0,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Modelista/::ref/Modelista.jpg.webp,1,0,False
57,妖艶魔女 -trappola bewitching-,妖艶,gmtn.,190.0,1044,Tairitsu,Vicious Labyrinth,1.05,10.0,10.0,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/trappola bewitching/::ref/trappola bewitching.jpg.webp,0,1,False
58,conflict,コンフリ,siromaru + cranky,160.0,1056,Tairitsu,Vicious Labyrinth,1.05,10.0,10.2,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/conflict/::ref/conflict.jpg.webp,1,0,False
69,cyanine,シアニン,jioyi,182.0,1171,Tairitsu,Lanota,1.05,10.0,10.6,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/cyanine/::ref/cyanine.jpg.webp,1,0,True
70,Metallic Punisher,メタパニ,INNOCENT NOISE,165.0,1238,Tairitsu,Memory Archive,1.05,10.0,10.3,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Metallic Punisher/::ref/Metallic Punisher.jpg.webp,1,0,False
78,γuarδina,ガーディナ,Aoi,202.0,1120,Hikari,Memory Archive,1.06,10.0,10.4,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/guardina/::ref/guardina.jpg.webp,0,1,False
90,Ether Strike,えーてるすとらいく,Akira Complex,156.0,1170,Hikari,Luminous Sky,1.07,10.0,10.3,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Ether Strike/::ref/Ether Strike.jpg.webp,0,1,False
97,Alexandrite,あれきさんどらいと,WAiKURO,146.0,1040,Tairitsu,Memory Archive,1.07,10.0,10.0,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Alexandrite/::ref/Alexandrite.jpg.webp,1,0,False
102,Tiferet,てぃふぁれっと,xi vs Sta,140.0,1086,Tairitsu,Tone Sphere,1.08,10.0,10.4,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Tiferet/::ref/Tiferet.jpg.webp,0,1,False
110,Scarlet Lance,スカラン,MASAKI (ZUNTATA),185.0,1130,Hikari,Groove Coaster,1.09,10.0,10.1,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Scarlet Lance/::ref/Scarlet Lance.jpg.webp,0,1,False
119,Vicious Heroism,ヒロイズム,Kobaryo,256.0,1150,Tairitsu,Absolute Reason,2.0,10.0,10.0,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Vicious Heroism/::ref/Vicious Heroism.jpg.webp,0,1,False
124,Garakuta Doll Play,ガラクタ,t+pazolite,256.0,1035,Tairitsu,CHUNITHM,2.01,10.0,10.4,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Garakuta Doll Play/::ref/Garakuta Doll Play.jpg.webp,0,1,False
125,怒槌,ドトール,光吉猛修,200.0,1347,Tairitsu,CHUNITHM,2.01,10.0,10.4,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Ikazuchi/::ref/Ikazuchi.jpg.webp,1,0,False
136,Valhalla:0,ヴァルハラ,Juggernaut.,200.0,1173,Tairitsu,Sunset Radiance,2.03,10.0,10.4,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Valhalla_0/::ref/Valhalla_0.jpg.webp,1,0,False
137,Mirzam,みるざむ,Aoi vs. siqlo,201.0,1303,Tairitsu,Memory Archive,2.03,10.0,10.0,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Mirzam/::ref/Mirzam.jpg.webp,1,0,False
140,GLORY：ROAD,グロロ,uma vs. モリモリあつし,250.0,1479,Hikari,Crimson Solace,2.04,10.0,10.6,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/GLORY_ROAD/::ref/GLORY_ROAD.jpg.webp,0,1,False
149,IZANA,いざな,t+pazolite vs P*Light,222.0,976,Hikari,Memory Archive,2.05,10.0,10.3,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/IZANA/::ref/IZANA.jpg.webp,0,1,False
155,corps-sans-organes,コープス,cybermiso,105.0,1077,Tairitsu,Ambivalent Vision,2.06,10.0,10.6,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/corps-sans-organes/::ref/corps-sans-organes.jpg.webp,0,1,False
180,Malicious Mischance,マリミス,s-don,155.0,1126,Tairitsu,Memory Archive,3.01,10.0,10.2,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Malicious Mischance/::ref/Malicious Mischance.jpg.webp,0,1,False
189,Xanatos,たなとす,Tatsh,170.0,1232,Tairitsu,Memory Archive,3.02,10.0,10.0,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Xanatos/::ref/Xanatos.jpg.webp,1,0,False
195,Felis,ふぇりす,M2U,155.0,1153,Hikari,Ephemeral Page,3.03,10.0,10.4,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Felis/::ref/Felis.jpg.webp,1,0,False
199,アリス・リデルに捧ぐ,アリリデ,モリモリあつし,222.0,998,Tairitsu,Ephemeral Page,3.03,10.0,10.3,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/To_ Alice Liddell/::ref/To_ Alice Liddell.jpg.webp,0,1,False
