SortNo,Music_Title,Nickname,Artist,BPM,Noes,Side,Pack,Version,FTR_Level,FTR_Const,ETR_Level,ETR_Const,BYD_Level,BYD_Const,Image,Point,Count,Flag
60,Grievous Lady,グリバ,Team Grimoire vs Laur,210.0,1450,Tairitsu,Vicious Labyrinth,1.05,11.0,11.3,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Grievous Lady/::ref/Grievous Lady.jpg.webp,-2,0,False
91,Fracture Ray,フラクチャ,Sakuzyo,200.0,1279,Hikari,Luminous Sky,1.07,11.0,11.3,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Fracture Ray/::ref/Fracture Ray.jpg.webp,0,0,False
150,最強STRONGER,最スト,REDALiCE vs USAO,205.0,1384,Tairitsu,Memory Archive,2.05,11.0,11.0,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/%E6%9C%80%E5%BC%B7STRONGER/::ref/SAIKYO%20STRONGER.jpg.webp,2,1,False
178,Tempestissimo,テンペ,t+pazolite,231.0,1540,Tairitsu,Black Fate,3.0,,,,,11.0,11.5,https://cdn.wikiwiki.jp/to/w/arcaea/Tempestissimo/::ref/Tempestissimo-b.jpg.webp,3,0,False
223,Aegleseeker,アイグレ,Silentroom vs Frums,234.0,1568,Hikari,Esoteric Order,3.06,11.0,11.1,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Aegleseeker/::ref/Aegleseeker.jpg.webp,0,1,False
269,PRAGMATISM -RESURRECTION-,プラリザ,Laur,174.0,1502,Hikari,Eternal Core,3.1,,,,,11.0,11.0,https://cdn.wikiwiki.jp/to/w/arcaea/PRAGMATISM/::ref/PRAGMATISM-b.jpg.webp,3,0,False
312,魔王,まおう,sasakure.UK × TJ.hangneil,280.0,1661,Hikari,Final Verdict,4.0,,,,,11.0,11.2,https://cdn.wikiwiki.jp/to/w/arcaea/%E9%AD%94%E7%8E%8B/::ref/World%20Ender.jpg.webp,1,0,False
313,Pentiment,ペンチ,Noting But Requiem with Museo,222.0,1741,Tairitsu,Final Verdict,4.0,,,,,11.0,11.4,https://cdn.wikiwiki.jp/to/w/arcaea/Pentiment/::ref/Pentiment.jpg.webp,2,0,False
314,Arcana Eden,アルカナ,Team Grimoire vs sakuzyo vs Laur,211.0,2134,Tairitsu,Final Verdict,4.0,,,,,11.0,11.4,https://cdn.wikiwiki.jp/to/w/arcaea/Arcana Eden/::ref/Arcana Eden.jpg.webp,5,1,False
380,Abstruse Dilenmma,ジレンマ,Ashrount vs. 打打だいず,216.0,1467,Hikari,Lasting Eden,4.07,11.0,11.1,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Abstruse Dilemma/::ref/Abstruse Dilemma.jpg.webp,2,0,False
391,Arghena,アゲナ,Feryquitous vs Laur,185.0,1444,Tairitsu,Severed Eden,5.0,11.0,11.3,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Arghena/::ref/Arghena.jpg.webp,0,1,False
416,Vicious [ANTi] Heroism,ヴィシャスアンチ,Kobaryo,271.0,1772,Tairitsu,Absolute Reason,5.03,,,,,11.0,11.1,https://cdn.wikiwiki.jp/to/w/arcaea/Vicious Heroism/::ref/Vicious Heroism-b.jpg.webp,2,1,False
315,Testify,てすてぃふぁい,Void (Mournfinale) feat. 星熊南巫,178.0,2221,,Final Verdict,4.0,,,,,12.0,12.0,https://cdn.wikiwiki.jp/to/w/arcaea/Testify/::ref/Testify.jpg.webp,5,0,False
