SortNo,Music_Title,Nickname,Artist,BPM,Noes,Side,Pack,Version,FTR_Level,FTR_Const,ETR_Level,ETR_Const,BYD_Level,BYD_Const,Image,Point,Count,Flag
5,Lucifer,るしふぁー,chitose,165.0,861,Tairitsu,Arcaea,1.0,8.0,8.2,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Lucifer/::ref/Lucifer.jpg.webp,2,1,False
6,Snow White,すのーほわいと,Puru,150.0,978,Hikari,Arcaea,1.0,8.0,8.4,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Snow White/::ref/Snow White.jpg.webp,3,1,False
7,Shades of Light in a Transcendent Realm,さですおぶらいといんとらんせんでんとれるむ,ak+q,170.0,1067,Hikari,Arcaea,1.0,8.0,8.3,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Shades%20of%20Light%20in%20a%20Transcendent%20Realm/::ref/Shades%20of%20Light%20in%20a%20Transcendent%20Realm-fixed.jpg.webp,2,0,False
8,Babaroque,ばばろっく,cYsmix,136.0,808,Hikari,Arcaea,1.0,8.0,8.5,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Babaroque/::ref/Babaroque.jpg,4,0,False
13,I've heard it said,あいぶはーどいっとせいど,Combatplayer,165.0,864,Hikari,Eternal Core,1.0,8.0,8.1,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/I've heard it said/::ref/I've heard it said.jpg.webp,-2,0,False
15,Relentless,りれんとれす,Akira Complex,174.0,1015,Tairitsu,Eternal Core,1.0,8.0,8.0,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Relentless/::ref/Relentless_2.jpg.webp,1,0,False
16,Lumia,るみあ,sky_delta,180.0,961,Hikari,Eternal Core,1.0,8.0,8.4,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Lumia/::ref/Lumia.jpg.webp,0,1,False
21,Dandelion,だんでらいおん,Farhan,169.0,921,Hikari,Arcaea,1.0,8.0,8.5,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Dandelion/::ref/Dandelion.jpg,3,0,False
37,REconstruction,りこんすとらくしょん,Ryazan,180.0,825,Hikari,Dynamix,1.01,8.0,8.4,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/REconstruction/::ref/REconstruction.jpg.webp,0,1,False
43,ハルトピア ~Utopia of Spring~,はるとぴあ,A-zu-ra,185.0,1061,Hikari,Arcaea,1.01,8.0,8.5,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/%E3%83%8F%E3%83%AB%E3%83%88%E3%83%94%E3%82%A2%20~Utopia%20of%20Spring~/::ref/Harutopia%20~Utopia%20of%20Spring~.jpg,1,0,False
46,Moonheart,ムーンハート,翡乃イスカ,180.0,947,Hikari,Ambivalent Vision,1.01,8.0,8.4,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Moonheart/::ref/Moonheart.jpg.webp,2,1,False
47,Genesis,じぇねしす,Iris,132.0,713,Tairitsu,Ambivalent Vision,1.01,8.0,8.2,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Genesis/::ref/Genesis.jpg.webp,0,1,False
50,Rabbit In The Black Room,らびっといんざぶらっくるーむ,Rabbit House,270.0,772,Tairitsu,Arcaea,1.01,8.0,8.4,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Rabbit In The Black Room/::ref/Rabbit In The Black Room.jpg.webp,3,0,False
52,One Last Drive,わんらすとどらいぶ,REDSHiFT,175.0,885,Hikari,Arcaea,1.05,8.0,8.2,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/One Last Drive/::ref/One Last Drive.jpg.webp,2,1,False
63,Reinvent,れいんべんと,Sound Souler,174.0,852,Hikari,Arcaea,1.05,8.0,8.5,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Reinvent/::ref/Reinvent.jpg.webp,3,0,False
73,Silent Rush,さいれんとらっしゅ,Soleily,158.0,941,Tairitsu,Binary Enfold,1.06,8.0,8.6,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Silent Rush/::ref/Silent Rush.jpg.webp,1,0,False
84,Bookmaker (2D Version),ぶっくまーかー,Kobaryo,175.0,1124,Tairitsu,Arcaea,1.07,8.0,8.3,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Bookmaker (2D Version)/::ref/Bookmaker (2D Version).jpg.webp,0,0,False
96,Purgatorium,ぷるがと,お月さま交響曲,150.0,983,Tairitsu,Arcaea,1.07,8.0,8.4,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Purgatorium/::ref/Purgatorium.jpg.webp,2,1,False
98,光,ひかり,THB,130.0,684,Tairitsu,Tone Sphere,1.08,8.0,8.1,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/%E5%85%89/::ref/Hikari.jpg.webp,2,1,False
