SortNo,Music_Title,Nickname,Artist,BPM,Noes,Side,Pack,Version,FTR_Level,FTR_Const,ETR_Level,ETR_Const,BYD_Level,BYD_Const,Image,Point,Count,Flag
12,cry of viyella,くらいおぶびえら,Laur,180.0,791,Tairitsu,Eternal Core,1.0,8.7,8.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/cry of viyella 2/::ref/cry of viyella 2.jpg.webp,1,0,False
14,memoryfactory.lzh,メモファク,Frums,100.0,672,Hikari,Eternal Core,1.0,8.7,8.9,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/memoryfactory.lzh/::ref/memoryfactory.lzh.jpg,1,0,False
26,Flashback,ふらっしゅばっく,ARForest,195.0,856,Hikari,Crimson Solace,1.0,8.7,8.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Flashback/::ref/Flashback.jpg.webp,1,0,False
30,Chronostasis,くろのすたしす,黒皇帝,196.0,916,Tairitsu,Arcaea,1.01,8.7,8.9,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Chronostasis/::ref/Chronostasis.jpg.webp,1,0,True
38,Evoltex (poppi'n mix),エボルテ,Arch vs n3pu,205.0,775,Hikari,Dynamix,1.01,8.7,8.9,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Evoltex (poppi'n mix)/::ref/Evoltex (poppi'n mix).jpg.webp,0,1,False
61,Surrender,されんだー,void,152.0,925,Hikari,Memory Archive,1.05,8.7,8.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Surrender/::ref/Surrender.jpg.webp,-1,0,True
72,next to you,ねくすととぅーゆー,uma feat. 橘花音	,165.0,824,Hikari,Binary Enfold,1.06,8.7,8.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/next to you/::ref/next to you.jpg.webp,1,0,False
82,Call My Name feat. Yukacco,こーるまいねーむ,Mameyudoufu,175.0,921,Hikari,Memory Archive,1.06,8.7,8.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Call My Name feat. Yukacco/::ref/Call My Name feat. Yukacco.jpg,1,0,False
86,九番目の迷路,きゅうばんめのめいろ,アリスシャッハと魔法の楽団,159.0,775,Hikari,Luminous Sky,1.07,8.7,8.9,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Maze No.9-2/::ref/Maze No.9-2.jpg.webp,1,0,False
93,dropdead,ドロデ,Frums,50.0,823,Tairitsu,Memory Archive,1.07,8.7,9.1,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/dropdead/::ref/dropdead.jpg.webp,1,0,False
